,LEA CODE,LEA,Total Teachers,Leaving,Attrition Rate,ADM,Reduced,Free,Needy Perc,S:T Ratio,Total dropouts,Dropout Rate,Total #Acts committed,Acts per 1000 students,Total Expenditures (TOTALEXP) per Pupil (V33),Total Current Expenditures (TCURELSC) per Pupil (V33),Instructional Expenditures (E13) per Pupil (V33),American Indian/Alaska Native Students,Nat Amr Perc,Asian or Asian/Pacific Islander Students,Asian Perc,Hispanic Students,Hisp Perc,Black Students,Black Perc,White Students,White Perc,Hawaiian Nat./Pacific Isl. Students,Hawaiian Perc,Two or More Races Students,2 Plus perc,Total Revenue (TOTALREV) per Pupil (V33),Total Revenue - Federal Sources (TFEDREV) per Pupil (V33),Total Revenue - State Sources (TSTREV) per Pupil (V33),Total Revenue - Local Sources (TLOCREV) per Pupil (V33),Urban-centric Locale,Urban centric local number,groups
52,470,Hoke,72,19,26.39,3021,161,2369,83.75,5.5,64,1.52,52,6.5,8236,7982,4886,935,30.95001655,73,2.416418405,1483,49.0897054,3087,102.1847071,2311,76.49784839,11,0.364117842,504,16.68321748,8210,1167,6069,974,21-Suburb: Large,21,5
53,480,Hyde,1333,169,12.68,8006,705,4843,69.3,129.13,23,2.43,1,1.77,17562,17050,8948,0,0.0,0,0.0,96,1.199100674,167,2.085935548,318,3.972020984,2,0.024981264,17,0.212340744,17343,1747,12537,3060,43-Rural: Remote,43,3
54,490,Iredell-Statesville,248,43,17.34,565,24,361,68.14,0.43,50,2.32,159,7.5,8196,7692,4688,39,6.902654867000001,596,105.4867257,2383,421.76991150000003,2979,527.2566372,14896,2636.460177,17,3.008849558,490,86.72566372,8027,938,5102,1987,21-Suburb: Large,21,3
55,500,Jackson,2207,297,13.46,3580,327,1832,60.31,14.32,4,2.34,12,3.35,9208,8893,5226,371,10.36312849,43,1.2011173179999999,343,9.581005587,46,1.284916201,2789,77.90502793,6,0.167597765,64,1.7877094969999998,9491,1239,5703,2549,41-Rural: Fringe,41,3
56,510,Johnston,94,13,13.83,33195,1839,13065,44.9,14.48,120,1.68,176,5.3,8247,8094,5230,163,0.49103780700000005,218,0.65672541,6660,20.06326254,5409,16.29462268,20162,60.73806296,20,0.060250038,1079,3.250489532,7964,857,5302,1806,41-Rural: Fringe,41,3
57,520,Jones,383,45,11.75,1141,125,849,85.36,11.41,47,2.8,4,3.51,12218,11722,6540,9,0.78878177,5,0.438212095,86,7.537248028,541,47.41454864,561,49.16739702,0,0.0,30,2.629272568,12040,1277,8493,2270,42-Rural: Distant,42,3
58,132,Kannapolis,616,94,15.26,5429,300,3846,76.37,14.21,19,1.73,17,3.24,9736,9688,6028,10,0.184195985,92,1.6946030580000002,1297,23.89021919,1547,28.49511881,2245,41.35199853,3,0.055258795,317,5.83901271,8774,1758,5027,1988,22-Suburb: Mid-size,22,3
59,530,Lee,597,95,15.91,9767,665,5749,65.67,15.36,189,1.95,79,8.09,8641,8251,5296,70,0.716699089,64,0.6552677379999999,3140,32.14907341,2131,21.81836797,4295,43.97460838,7,0.071669909,287,2.9384662639999997,8588,1076,5594,1918,41-Rural: Fringe,41,3
60,540,Lenoir,226,41,18.14,9155,666,6021,73.04,15.76,16,5.11,60,6.64,8350,8198,4867,24,0.26215183,62,0.67722556,1082,11.81867832,4250,46.42271983,3698,40.39322774,6,0.06553795700000001,221,2.413981431,8485,1282,5811,1392,41-Rural: Fringe,41,4
61,291,Lexington City,786,77,9.8,3010,147,2485,87.44,13.74,93,3.14,3,1.0,9495,9116,5508,18,0.598006645,143,4.750830565,1046,34.75083056,1026,34.08637874,831,27.60797342,6,0.199335548,133,4.418604651,9441,1591,5815,2036,21-Suburb: Large,21,2
